id,customer_id,restaurant_id,driver_id,order_timestamp,items,item_count,subtotal,delivery_fee,tip,total,estimated_delivery_min,actual_delivery_min,status,cancellation_reason,rating
1,2908,2,10,2024-01-01 11:03:55,"Chicken Tenders Basket, Margherita Pizza",2,32.43,4.99,6.11,43.53,29,31.0,delivered,,4.0
2,4781,85,12,2024-01-01 11:13:26,"Pepperoni Pizza Large, Pad Thai, Fish Tacos",3,44.7,4.99,12.61,62.3,32,37.0,delivered,,3.0
3,4593,117,21,2024-01-01 11:27:02,"Pad Thai, Caesar Salad, Fish Tacos, Brisket Plate",4,44.84,4.99,3.21,53.04,33,36.0,delivered,,3.0
4,1375,35,16,2024-01-01 11:28:06,10-Piece Wings,1,11.27,4.99,1.0,17.26,20,23.0,delivered,,4.0
5,2068,2,37,2024-01-01 11:31:23,"Lamb Vindaloo, Margherita Pizza, 10-Piece Wings",3,42.09,4.99,10.69,57.77,43,46.0,delivered,,3.0
6,2127,45,42,2024-01-01 11:51:37,"Lamb Vindaloo, Classic Cheeseburger, Green Curry",3,24.71,4.99,4.58,34.28,41,40.0,delivered,,4.0
7,1914,107,4,2024-01-01 12:05:35,"BBQ Pulled Pork Sandwich, Acai Bowl",2,24.4,4.99,3.6,32.99,39,38.0,delivered,,4.0
8,4872,58,10,2024-01-01 12:12:49,"Green Curry, Pho Bo, Classic Cheeseburger, Pepperoni Pizza Large",4,58.95,4.99,9.03,72.97,37,47.0,delivered,,3.0
9,968,91,33,2024-01-01 12:15:31,"Classic Cheeseburger, Brisket Plate, Pepperoni Pizza Large, Salmon Roll Combo",4,88.59,4.99,17.49,111.07,30,35.0,delivered,,4.0
10,4561,20,30,2024-01-01 12:17:58,"Acai Bowl, Salmon Roll Combo, Chicken Burrito Bowl, Pho Bo",4,33.73,4.99,8.32,47.04,31,32.0,delivered,,5.0
11,2627,7,11,2024-01-01 12:26:05,"10-Piece Wings, Chicken Burrito Bowl, Fish Tacos",3,40.27,4.99,0.53,45.79,32,29.0,delivered,,4.0
12,859,89,20,2024-01-01 12:30:45,"General Tso's Chicken, Chicken Burrito Bowl, BBQ Pulled Pork Sandwich",3,67.45,4.99,15.13,87.57,45,60.0,delivered,,3.0
13,4655,96,23,2024-01-01 12:50:10,"BBQ Pulled Pork Sandwich, Brisket Plate",2,8.0,4.99,1.26,14.25,33,30.0,delivered,,4.0
14,1746,56,38,2024-01-01 12:53:11,"BBQ Pulled Pork Sandwich, Kung Pao Chicken, Margherita Pizza",3,42.61,4.99,11.12,58.72,24,27.0,delivered,,3.0
15,5590,37,26,2024-01-01 13:13:51,"10-Piece Wings, Butter Chicken, Pepperoni Pizza Large",3,39.76,4.99,2.84,47.59,36,29.0,delivered,,5.0
16,237,5,28,2024-01-01 13:15:36,"BBQ Pulled Pork Sandwich, Dragon Roll",2,27.63,4.99,6.73,39.35,39,54.0,delivered,,5.0
17,5276,53,10,2024-01-01 13:29:01,"Butter Chicken, Green Curry",2,16.15,4.99,5.14,26.28,51,49.0,delivered,,3.0
18,6691,59,20,2024-01-01 13:32:04,"Kung Pao Chicken, Fish Tacos, Dragon Roll",3,49.99,4.99,10.61,65.59,19,16.0,delivered,,3.0
19,281,113,7,2024-01-01 13:40:58,"Fish Tacos, Kung Pao Chicken, Margherita Pizza, General Tso's Chicken",4,34.5,4.99,5.23,44.72,41,43.0,delivered,,4.0
20,7410,54,32,2024-01-01 13:41:45,Pad Thai,1,10.59,4.99,2.72,18.3,27,30.0,delivered,,3.0
